referencia;descripcion;cantidad
413200;HEXACONE HC2 2.9 13MM;4
413202;HEXACONE HC2 3.7 8 MM;10
413203;HEXACONE HC2 3.7 10 MM;15
413204;HEXACONE HC2 3,7 13 MM;12
413205;HEXACONE HC2 3,7 15MM;13
413206;HEXACONE HC2 4,5 8 MM;13
413207;HEXACONE HC2 4,5 10MM;1
413208;HEXACONE HC2 4,5 11,5MM;1
413210;HEXACONE HC2 3.7 11.5MM;13
413211;HEXACONE HC2 5,5 8 MM;10
413212;HEXACONE HC2 5,5 10 MM;14
413213;HEXACONE HC2 5,5 11,5MM;13
413214;HEXACONE HC2 5.5 13;10
413217;HEXACONE HC2 4.5 6+2;1
413220;HEXACONE HC2 3,3 8MM;10
413221;HEXACONE HC2 3,3 10 MM;14
413222;HEXACONE HC2 3.3 11.5MM;11
413223;HEXACON HC2 3 3 13;18
413224;HEXACONE HC2 3,3 15;14
455106;KOS 3.7 6;7
455107;KOS 3.7 8;6
455108;KOS 3.0 10;23
455109;KOS 3.0 12;4
455110;KOS 3.0 15;7
455111;KOS 3.2 12;7
455112;KOS 3.2 15;4
455114;KOS 3.7 10;10
455115;KOS 3.7 12;4
455120;KOS 3.7.15;6
455129;KOS 4.1.8;12
455130;KOS 4.1 10;11
455132;KOS 4.1 12;12
455136;KOS 4.1 17;9
455137;KOS MICRO 4.1 19;3
455150;KOSK 3.0 15;11
455152;KOSK 3.0 12;6
455154;KOSK 3.7 12;6
455155;KOSK 3.7 15;4
455156;KOSK 4.1.15;2
455171;KOS X 5 10;3
455172;KOS 5.0 12;7
455203;KOS LOC 3.7 15;10
455700;KOS X 3.0 10;11
455702;KOS X 3.0 15;7
455710;KOS X 3.2 12;9
455711;KOS X 3.2 15;7
455720;KOS X 3.7 10;8
455721;KOS X 3.7 12;3
455722;KOS X 3.7 15;4
455730;KOS X 4.1 8;8
455731;KOS X 4.1 10;6
455732;KOS X 4.1 12;6
455740;KOS 5.0 10;10
455741;KOS X 5 12;6
455742;KOS X 5 15;5
455812;KOS 4.1 11 + 3;2
455820;KOS PLUS;4
455821;KOS PLUS 5.0 9+3;3
455823;KOS PLUS;1
455900;KOS MICRO 3.0 10;1
455910;KOS MICRO 3,7 06;14
455912;KOS MICRO 3.7 10;3
455913;KOS MICRO 3.7 12;14
455914;KOS MICRO 3.7 15;17
455920;KOS MICRO 4.1 8;7
455922;KOS MICRO 4.1 12;5
900100;IMPLANTE ZSI 4,6 35;4
900208;BCS 3,5 10;21
900210;BCS 3.5 14;22
900211;BCS 3,5 17;29
900212;BCS 3,5 20;7
900213;BCS 3,5 23;19
900214;BCS 3,5 26;15
900215;BCS 3,5 29;11
900216;BCS 3,5 32;7
900217;BCS 3,5 35;5
900220;BCS 4,5,14;6
900221;BCS 4,5 17;9
900222;BCS 4,5 20;15
900223;BCS 4,5 23;10
900251;BCS 5,5 14;7
900252;BCS 5,5 17;9
900276;BCS 10.5 10;5
900277;IMPLANTE BASAL BCS 10.5 12;7
900281;BCS 5,5 10;7
900284;BCS 3.6 12;27
900285;BCS 3,6 10;17
900286;BCS 3,6 14;19
900287;BCS 3,6 17;23
900288;ALL FIT BSC 3 6 20;18
900289;BCS 3,6 23;17
900291;BCS 3,6 29;7
900292;ALL FIT BSC 4 6 10;6
900293;BCS 4,6 14;11
900294;BCS 4,6 17;9
900299;BCS 4,6 8;1
900300;BCS 4,6 12;5
